artifact_name,transitions,image_link
Equipage dans un parc,"{1952: {'lat': 48.8606111, 'lng': 2.337644}}{1952: a Park}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-equipage-dans-un-parc_0.jpg?1527839338
Hunting scene in a chariot,"{1891: {'lat': 48.8606111, 'lng': 2.337644}}{9th century: Turkey}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-scene-chasse-char.jpg?1492583577
Mercury,"{1957: {'lat': 48.8606111, 'lng': 2.337644}}{1744: Mercury}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-mercure-attachant-ses-talonnieres.jpg?1527826100
Model of figures in a boat,"{1902: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-modele-bateau-occupe-par.jpg?1527832363
Fragment de mosaГЇqueВ de solВ : triomphe de Neptune et d'Amphitrite,"{1845: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-fragment-mosaique%C2%A0de-sol%C2%A0-triomphe.jpg?1492565638
Ampoules Г  eulogies,"{1950: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-ampoules-eulogies.jpg?1527818471
Pilgrimage to the Isle of Cythera,"{}{1721: the Isle of Cythera}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-pelerinage-l039ile-cythere.jpg?1527830734
Sarcophage du roi RamsГЁs III,"{}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-sarcophage-roi-ramses-iii.jpg?1527818366
Les PГЁlerins d'EmmaГјs,"{1638: {'lat': 48.8606111, 'lng': 2.337644}}{1559: VГ}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-les-pelerins-d039emmaues.jpg?1527820718
"Arrival of a Stagecoach in the Cour des Messageries, Rue Notre-Dame-des-Victoires, Paris","{2678: {'lat': 48.8606111, 'lng': 2.337644}}{1804: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-l039arrivee-d039une-diligence-dans.jpg?1527831389
